-MISSION-	30
SP	100
Burst 100
HashiEx
JunpeisPoint	10

-LIST-
UltimateGrandSlamC a |UltimateGrandSlamD a |UltimateGrandSlamCD a +UltimateGrandSlam_final nOnly
Homerun_Ball +UltimateGrandSlamCDUpper_foul nOnly
UltimateGrandSlamC a |UltimateGrandSlamD a |UltimateGrandSlamCD a +UltimateGrandSlam_final nOnly
Homerun_Ball +UltimateGrandSlamCDUpper_foul nOnly
UltimateGrandSlamC a |UltimateGrandSlamD a |UltimateGrandSlamCD a +UltimateGrandSlam_final nOnly
Homerun_Ball +UltimateGrandSlamCDUpper_foul nOnly
DamageOver5000        c        d5000        nOnly

-KEY-
5	-	12
6	-	4
5	-	5
6	-	7
6	C	1
5	C	6
5	-	3
2	-	7
2	C	8
2	-	20
3	-	2
6	-	3
5	C	6
5	-	6
6	-	30
5	-	5
5	B	9
5	-	2
2	-	4
2	B	10
2	-	2
5	-	20
8	-	6
8	B	4
5	B	7
5	-	9
6	-	1
9	-	8
9	B	3
8	B	2
5	B	7
2	-	4
3	-	2
6	-	1
6	B	4
5	B	8
6	B	2
6	-	67
5	-	32
6	-	3
5	-	4
6	-	4
3	-	2
2	-	1
1	-	2
4	A	2
5	A	6
5	-	25
6	-	4
5	-	7
6	-	3
6	B	2
5	B	6
5	-	6
2	-	2
2	B	9
2	-	14
2	D	10
2	-	1
5	-	17
5	ACD	1
5	-	6
5	ACD	4
5	-	37
2	-	2
3	-	4
6	-	7
2	-	4
3	CD	2
6	CD	2
6	D	2
5	D	1
5	-	2
5	C	3
5	-	81
5	A	3
5	-	7
5	A	6
5	-	54
2	-	4
3	-	2
6	-	4
2	-	5
3	-	1
6	-	2
6	CD	2
5	CD	2
5	-	89
5	A	7
5	-	6
5	A	7
5	-	51
2	-	5
3	-	1
6	-	5
5	-	1
2	-	5
3	-	2
6	-	1
6	D	1
6	CD	1
5	CD	3
5	D	1
5	-	93
5	A	5
5	-	6
5	A	7
5	-	6
5	A	9
5	-	95
2	-	3
1	-	3
4	D	3
5	D	4
5	-	237
